objectid,parentid,title,alt_title,creator,editor,date,description,subject,location,latitude,longitude,source,identifier,identifier2,locus,type,format,language,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
portada,,Mapa de las Provincias de Paraguay y Tucumán con el Río de la Plata,,,S. Buckley,1698,"Mapa de las Provincias de Paraguay y Tucumán con el Río de la Plata, incluido en la edición de 1698 del libro <i>Voyages and discoveries in South-America</i>, recopilado por Cristobal de Acuña",mapa; impreso,Londres,51.509.865,-118.092,"<a href=""https://www.doaks.org/resources/rare-books/voyages-and-discoveries-in-south-america"" target=""_blank"">Dumbarton Oaks research institute (Harvard University)</a>",,,,Image;StillImage,image/jpeg,,,/objects/portada.jpg,/objects/small/portada.jpg,/objects/thumbs/portada.jpg,,
lcc_exordio,,Exordio de <i>El lazarillo de ciegos caminantes</i>,"El lazarillo de ciegos caminantes: desde Buenos-Ayres hasta Lima con sus itinerarios segun la mas puntual observacion, con algunas noticias utiles á los nuevos comerciantes que tratan en mulas y otras historias ",Alonso Carrió de la Vandera,Imprenta de la Rovada,1773,"<i>El lazarillo de ciegos caminantes</i>: desde Buenos-Ayres, hasta Lima con sus itinerarios segun la mas puntual observacion, con algunas noticias utiles á los nuevos comerciantes que tratan en mulas y otras historias; sacado de las memorias que hizo don Alonso Carriò de la Vandera en este dilatado viage...",prosa; impreso,Lima,-1.204.318,-7.702.824,Biblioteca Nacional (España),sig. R/22795,,16r-19r,,,español,transcripciones,,/objects/small/lcc_16r.jpg,/objects/thumbs/lcc_16r.jpg,,/objects/transcripciones/llc_exordio.html
lcc_f16r,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_16r.jpg,/objects/small/lcc_16r.jpg,/objects/thumbs/lcc_16r.jpg,,
lcc_f16v,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_16v.jpg,/objects/small/lcc_16v.jpg,/objects/thumbs/lcc_16v.jpg,,
lcc_f17r,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_17r.jpg,/objects/small/lcc_17r.jpg,/objects/thumbs/lcc_17r.jpg,,
lcc_f17v,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_17v.jpg,/objects/small/lcc_17v.jpg,/objects/thumbs/lcc_17v.jpg,,
lcc_f18r,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_18r.jpg,/objects/small/lcc_18r.jpg,/objects/thumbs/lcc_18r.jpg,,
lcc_f18v,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_18v.jpg,/objects/small/lcc_18v.jpg,/objects/thumbs/lcc_18v.jpg,,
lcc_f19r,lcc_exordio,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_19r.jpg,/objects/small/lcc_19r.jpg,/objects/thumbs/lcc_19r.jpg,,
lcc_montevideo,,Montevideo,"El lazarillo de ciegos caminantes: desde Buenos-Ayres hasta Lima con sus itinerarios segun la mas puntual observacion, con algunas noticias utiles á los nuevos comerciantes que tratan en mulas y otras historias ",Alonso Carrió de la Vandera,Imprenta de la Rovada,1773,Capitulo dedicado a la provincia de Buenos Aires,"Prosa;impresio, ejemplo",Lima,-1.204.318,-7.702.824,Biblioteca Nacional (España),sig. R/22795,,b8-d6-anexo,,,español ,transcripciones,,,,,/objects/transcripciones/llc_folios-b8-anexo.html
lcc_montevideo_b8,lcc_Montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_montevideo.jpg,/objects/small/lcc_b8.jpg,/objects/thumb/lcc_b8.jpg,,
lcc_montevideo_c1,lcc_Montevideo,,,,,,,,,,,,,,,Image;StillImage,image/jpeg,,,/objects/lcc_montevideo.jpg,/objects/small/lcc_c1.jpg,/objects/thumb/lcc_c1.jpg,,
